Местное время в Астане;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
31.12.2018 23:00;-18.4;744.8;780.4;0.5;87;Ветер, дующий с юго-запада;1;;;90  или более, но не 100%;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-10.9;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-20.0;0.6;12;;;;
31.12.2018 20:00;-17.2;744.3;779.6;0.6;86;Ветер, дующий с юга;1;;;90  или более, но не 100%;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-10.9;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-19.0;0.6;12;;;;
31.12.2018 17:00;-14.8;743.7;778.6;0.8;84;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.;Облака в целом рассеиваются или становятся менее развитыми. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;;;;;;;-16.9;;;;;;
31.12.2018 14:00;-11.2;742.9;777.3;0.5;76;Ветер, дующий с западо-юго-запада;2;;;70 – 80%.;Снег неливневый. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;40%.;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-14.6;;;;;;
31.12.2018 11:00;-12.7;742.4;777.1;0.5;79;Ветер, дующий с юго-юго-востока;2;;;90  или более, но не 100%;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Снег и/или другие виды твердых осадков;-14.6;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;4.0;-15.6;0.3;12;;;;
31.12.2018 8:00;-14.0;741.9;776.7;01.фев;81;Ветер, дующий с юга;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Снег и/или другие виды твердых осадков;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;2500 или более, или облаков нет.;;;4.0;-16.6;0.3;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;18.0
31.12.2018 5:00;-14.6;740.7;775.5;0.4;84;Ветер, дующий с юга;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;;-16.7;;;;;;
31.12.2018 2:00;-13.5;740.3;775.0;0.7;84;Ветер, дующий с юго-юго-запада;1;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;;-15.6;;;;;;
30.12.2018 23:00;-11.0;739.6;773.8;0.4;85;Ветер, дующий с юго-юго-востока;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-7.8;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;;-13.0;0.6;12;;;;
30.12.2018 20:00;-11.5;739.2;773.5;01.май;84;Ветер, дующий с юга;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-7.8;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;;-13.7;0.6;12;;;;
30.12.2018 17:00;-12.8;737.7;772.1;02.фев;87;Ветер, дующий с юго-юго-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;;-14.6;;;;;;
30.12.2018 14:00;-10.2;735.5;769.5;02.май;81;Ветер, дующий с западо-юго-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;-12.8;;;;;;
30.12.2018 11:00;-9.4;733.0;766.7;02.июл;82;Ветер, дующий с юго-юго-запада;2;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-8.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10.0;-11.9;3.0;12;;;;
30.12.2018 8:00;-7.9;730.3;763.6;01.сен;87;Ветер, дующий с западо-северо-запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";90  или более, но не 100%;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-9.7;3.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;18.0
30.12.2018 5:00;-8.5;728.4;761.8;0.1;86;Ветер, дующий с юго-юго-запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;;-10.4;;;;;;
30.12.2018 2:00;-8.4;728.3;761.7;-0.3;70;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;;-13.0;;;;;;
29.12.2018 23:00;-8.2;728.6;762.0;-0.5;64;Ветер, дующий с юга;2;;;100%.; ;;;;-3.8;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;-13.8;;;;;;
29.12.2018 20:00;-6.9;729.1;762.3;-0.3;65;Ветер, дующий с юга;1;;;100%.; ;;;;-3.8;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-12.5;;;;;;
29.12.2018 17:00;-4.5;729.4;762.3;-0.4;57;Ветер, дующий с юго-юго-востока;1;;;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-11.9;;;;;;
29.12.2018 14:00;-4.1;729.8;762.7;-1.3;58;Ветер, дующий с юго-юго-запада;2;;;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-11.3;;;;;;
29.12.2018 11:00;-6.6;731.1;764.4;-1.1;65;Ветер, дующий с юга;2;;;100%.;Состояние неба в общем не изменилось. ;Метель;Метель;-12.7;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;10.0;-12.1;;;;;;
29.12.2018 8:00;-8.3;732.2;765.7;0.4;61;Ветер, дующий с юго-юго-запада;3;;;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Метель;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;-14.5;;;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;15.0
29.12.2018 5:00;-9.5;731.8;765.4;-1.1;58;Ветер, дующий с юго-юго-востока;3;;;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Метель;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;-16.3;;;;;;
29.12.2018 2:00;-10.5;732.9;766.8;-1.1;64;Ветер, дующий с юго-юго-востока;3;;;70 – 80%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-16.0;;;;;;
28.12.2018 23:00;-11.4;734.0;768.1;-1.4;61;Ветер, дующий с юго-юго-востока;3;;;Облаков нет.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-11.4;;;;;;;-17.4;;;;;;
28.12.2018 20:00;-12.6;735.4;769.6;-1.5;64;Ветер, дующий с юго-юго-востока;3;;;Облаков нет.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;-11.6;;;;;;;-18.0;;;;;;
28.12.2018 17:00;-13.1;736.9;771.3;-0.7;65;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;-18.3;;;;;;
28.12.2018 14:00;-11.8;737.6;771.9;-1.1;60;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;-18.0;;;;;;
28.12.2018 11:00;-14.1;738.7;773.4;-1.2;64;Ветер, дующий с юга;2;;;100%.; ;;;-15.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;-19.4;;;;;;
28.12.2018 8:00;-15.7;739.9;774.9;-0.7;68;Ветер, дующий с запада;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;-20.3;;;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;16.0
28.12.2018 5:00;-14.2;740.6;775.3;-0.8;61;Ветер, дующий с юга;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-20.1;;;;;;
28.12.2018 2:00;-13.3;741.4;776.1;-1.1;57;Ветер, дующий с юго-юго-запада;2;;;Облаков нет.; ;;;;;;;;;;;-20.0;;;;;;
27.12.2018 23:00;-14.9;742.5;777.4;-0.6;57;Ветер, дующий с юга;2;;;Облаков нет.; ;;;;-13.4;;;;;;;-21.5;;;;;;
